zone_id,center_x,center_y,width,height,crop_type,health_status,ndvi_value,moisture_level,soil_ph,nutrient_nitrogen,nutrient_phosphorus,nutrient_potassium,last_sprayed,planting_date,expected_harvest
Zone_00,76.59,19.94,100.0,100.0,Wheat,Healthy,0.787,79.5,5.88,64.8,59.1,47.8,,2025-08-12,2025-12-14
Zone_01,434.14,173.37,100.0,100.0,Soybean,Pest-affected,0.671,51.8,5.98,41.7,32.1,38.6,,2025-08-11,2025-12-13
Zone_02,32.87,26.37,100.0,100.0,Wheat,Pest-affected,0.433,78.9,6.3,75.5,46.7,60.3,,2025-07-17,2025-12-17
Zone_03,92.43,498.88,100.0,100.0,Tomato,Diseased,0.386,30.2,5.73,58.2,31.1,29.1,,2025-08-21,2025-12-22
Zone_04,278.1,102.7,100.0,100.0,Potato,Healthy,0.204,33.7,6.13,58.5,52.5,33.6,,2025-09-04,2026-01-07
Zone_05,228.72,347.34,100.0,100.0,Corn,Diseased,0.759,77.6,6.53,67.4,41.5,37.1,,2025-09-02,2025-12-11
Zone_06,232.03,332.19,100.0,100.0,Corn,Pest-affected,0.245,71.0,6.08,66.2,33.5,59.0,,2025-09-20,2025-12-30
Zone_07,378.35,281.29,100.0,100.0,Cotton,Healthy,0.322,56.9,6.59,56.8,41.3,55.8,,2025-07-30,2026-01-02
Zone_08,38.96,483.44,100.0,100.0,Wheat,Diseased,0.592,68.8,6.61,68.2,26.8,63.1,,2025-07-21,2025-12-23
Zone_09,285.62,312.58,100.0,100.0,Rice,Healthy,0.489,70.9,5.64,35.6,47.4,32.6,,2025-08-20,2025-12-17
Zone_10,246.16,231.62,100.0,100.0,Wheat,Pest-affected,0.656,60.9,6.96,60.5,18.3,48.9,,2025-09-28,2026-01-22
Zone_11,261.76,149.77,100.0,100.0,Cotton,Healthy,0.667,77.7,5.67,79.6,51.4,35.0,,2025-07-11,2026-01-21
Zone_12,489.8,301.38,100.0,100.0,Corn,Healthy,0.589,50.9,5.92,48.9,34.4,61.2,,2025-09-26,2026-01-09
Zone_13,363.21,408.35,100.0,100.0,Rice,Diseased,0.76,68.6,7.02,27.1,22.9,35.9,,2025-09-06,2026-01-30
Zone_14,207.7,135.75,100.0,100.0,Corn,Diseased,0.718,39.3,6.34,60.5,37.8,27.5,,2025-07-13,2026-01-19
Zone_15,169.12,493.19,100.0,100.0,Cotton,Pest-affected,0.5,54.2,5.55,22.6,16.9,55.4,,2025-09-21,2025-12-25
Zone_16,243.86,31.51,100.0,100.0,Soybean,Healthy,0.373,63.4,6.17,70.5,34.0,65.2,,2025-08-15,2025-12-19
Zone_17,415.58,346.53,100.0,100.0,Wheat,Healthy,0.796,57.5,6.85,72.3,44.6,47.6,,2025-09-26,2025-12-12
Zone_18,261.18,84.67,100.0,100.0,Rice,Pest-affected,0.58,41.7,7.35,58.9,22.4,54.6,,2025-09-20,2025-12-23
Zone_19,395.88,146.04,100.0,100.0,Soybean,Diseased,0.736,72.9,5.64,63.0,30.0,61.1,,2025-09-25,2025-12-28
Zone_20,82.81,36.58,100.0,100.0,Rice,Pest-affected,0.41,57.6,6.67,25.0,20.1,28.9,,2025-07-18,2026-01-14
Zone_21,234.89,97.51,100.0,100.0,Cotton,Diseased,0.651,39.9,5.76,28.6,37.8,45.4,,2025-09-11,2025-12-28
Zone_22,437.6,454.49,100.0,100.0,Cotton,Diseased,0.569,71.1,6.86,53.3,16.8,50.8,,2025-08-11,2026-01-18
Zone_23,310.79,186.62,100.0,100.0,Tomato,Healthy,0.208,38.0,5.77,63.4,50.6,39.9,,2025-09-22,2026-01-23
Zone_24,119.22,317.48,100.0,100.0,Tomato,Diseased,0.761,62.8,6.93,66.9,32.5,41.2,,2025-09-12,2026-01-12
