timestamp,temperature_c,humidity_percent,soil_moisture_percent,ph_level,light_intensity_lux,location
2025-10-29T19:24:42.741030,26.39,56.04,53.04,6.45,420.82,Zone_00
2025-10-29T20:24:42.741030,26.08,59.2,55.01,6.81,514.32,Zone_01
2025-10-29T21:24:42.741030,27.21,69.24,55.04,6.55,533.44,Zone_02
2025-10-29T22:24:42.741030,26.67,71.74,38.97,6.85,691.93,Zone_03
2025-10-29T23:24:42.741030,29.97,61.55,52.82,6.75,534.11,Zone_04
2025-10-30T00:24:42.741030,26.01,67.93,53.14,6.31,650.76,Zone_05
2025-10-30T01:24:42.741030,31.08,73.17,52.88,6.14,653.33,Zone_06
2025-10-30T02:24:42.741030,31.06,57.97,62.33,6.45,665.09,Zone_07
2025-10-30T03:24:42.741030,33.68,63.76,58.99,6.72,681.19,Zone_08
2025-10-30T04:24:42.741030,35.94,68.12,60.78,6.21,773.91,Zone_09
2025-10-30T05:24:42.741030,30.71,68.29,59.87,6.7,758.18,Zone_10
2025-10-30T06:24:42.741030,34.24,79.68,64.77,6.97,680.4,Zone_11
2025-10-30T07:24:42.741030,29.84,68.71,53.36,6.27,738.02,Zone_12
2025-10-30T08:24:42.741030,37.13,73.84,73.05,6.71,701.74,Zone_13
2025-10-30T09:24:42.741030,37.34,73.74,54.47,6.88,692.26,Zone_14
2025-10-30T10:24:42.741030,32.39,74.7,61.03,7.21,751.24,Zone_15
2025-10-30T11:24:42.741030,35.45,74.66,47.66,6.99,828.96,Zone_16
2025-10-30T12:24:42.741030,36.61,76.54,66.87,7.11,913.49,Zone_17
2025-10-30T13:24:42.741030,36.74,78.0,57.29,6.89,728.58,Zone_18
2025-10-30T14:24:42.741030,33.14,75.83,84.06,6.54,852.84,Zone_19
2025-10-30T15:24:42.741030,34.93,76.95,50.85,6.52,726.98,Zone_20
2025-10-30T16:24:42.741030,32.49,67.51,68.95,7.08,774.59,Zone_21
2025-10-30T17:24:42.741030,35.15,80.51,74.09,6.1,812.88,Zone_22
2025-10-30T18:24:42.741030,30.65,74.49,64.29,7.01,901.64,Zone_23
2025-10-30T19:24:42.741030,32.56,85.52,73.69,6.25,729.94,Zone_24
2025-10-30T20:24:42.741030,26.52,79.32,68.72,6.04,801.66,Zone_00
2025-10-30T21:24:42.741030,32.03,81.15,65.9,6.84,785.73,Zone_01
2025-10-30T22:24:42.741030,28.15,75.49,72.11,6.41,895.03,Zone_02
2025-10-30T23:24:42.741030,27.42,86.58,78.2,6.77,744.26,Zone_03
2025-10-31T00:24:42.741030,29.02,89.54,65.12,5.9,797.59,Zone_04
2025-10-31T01:24:42.741030,26.22,78.11,86.34,6.85,703.12,Zone_05
2025-10-31T02:24:42.741030,22.25,84.52,79.09,6.23,672.59,Zone_06
2025-10-31T03:24:42.741030,22.76,75.18,70.61,6.74,649.33,Zone_07
2025-10-31T04:24:42.741030,18.65,83.51,63.87,7.17,599.31,Zone_08
2025-10-31T05:24:42.741030,20.93,73.31,70.15,7.36,580.2,Zone_09
2025-10-31T06:24:42.741030,20.19,83.73,62.07,6.81,605.69,Zone_10
2025-10-31T07:24:42.741030,23.26,79.91,69.63,6.78,651.14,Zone_11
2025-10-31T08:24:42.741030,20.52,80.14,84.65,6.48,609.71,Zone_12
2025-10-31T09:24:42.741030,14.68,74.05,72.62,6.99,502.94,Zone_13
2025-10-31T10:24:42.741030,20.77,86.17,63.41,6.89,530.84,Zone_14
2025-10-31T11:24:42.741030,14.78,79.67,91.38,6.71,490.8,Zone_15
2025-10-31T12:24:42.741030,16.96,70.04,73.93,7.28,385.61,Zone_16
2025-10-31T13:24:42.741030,14.01,73.47,60.6,6.79,425.84,Zone_17
2025-10-31T14:24:42.741030,17.68,76.97,76.98,6.93,364.92,Zone_18
2025-10-31T15:24:42.741030,9.51,82.35,81.57,7.03,362.86,Zone_19
2025-10-31T16:24:42.741030,15.51,73.75,83.14,7.28,282.59,Zone_20
2025-10-31T17:24:42.741030,15.34,70.96,67.51,6.72,353.3,Zone_21
2025-10-31T18:24:42.741030,14.29,77.08,75.17,7.22,302.24,Zone_22
2025-10-31T19:24:42.741030,12.96,70.0,70.4,7.19,315.54,Zone_23
2025-10-31T20:24:42.741030,14.03,68.18,91.5,7.08,304.95,Zone_24
2025-10-31T21:24:42.741030,16.12,64.66,78.52,6.85,193.88,Zone_00
2025-10-31T22:24:42.741030,12.65,64.68,68.03,6.8,193.29,Zone_01
2025-10-31T23:24:42.741030,15.84,80.77,91.56,6.95,193.09,Zone_02
2025-11-01T00:24:42.741030,19.23,71.39,84.92,6.96,244.14,Zone_03
2025-11-01T01:24:42.741030,17.25,69.98,90.91,7.34,276.9,Zone_04
2025-11-01T02:24:42.741030,19.84,56.54,85.23,6.68,214.63,Zone_05
2025-11-01T03:24:42.741030,16.76,69.56,77.63,6.96,263.02,Zone_06
2025-11-01T04:24:42.741030,18.15,64.0,86.11,7.05,242.12,Zone_07
2025-11-01T05:24:42.741030,21.31,67.74,83.19,6.72,197.45,Zone_08
2025-11-01T06:24:42.741030,23.79,63.08,75.23,6.93,139.9,Zone_09
2025-11-01T07:24:42.741030,22.97,64.07,62.67,7.17,191.41,Zone_10
2025-11-01T08:24:42.741030,20.6,65.7,87.19,7.44,208.3,Zone_11
2025-11-01T09:24:42.741030,23.46,63.97,69.12,7.35,161.36,Zone_12
2025-11-01T10:24:42.741030,26.37,63.09,73.78,7.5,193.72,Zone_13
2025-11-01T11:24:42.741030,28.26,55.07,62.68,6.8,259.97,Zone_14
2025-11-01T12:24:42.741030,29.74,51.7,59.35,6.96,211.44,Zone_15
2025-11-01T13:24:42.741030,26.53,60.69,85.85,7.05,242.55,Zone_16
2025-11-01T14:24:42.741030,30.59,51.39,74.89,7.12,225.06,Zone_17
2025-11-01T15:24:42.741030,33.08,58.63,80.99,7.28,388.09,Zone_18
2025-11-01T16:24:42.741030,33.71,55.35,72.89,6.92,309.03,Zone_19
2025-11-01T17:24:42.741030,31.27,49.68,61.41,6.53,295.09,Zone_20
2025-11-01T18:24:42.741030,31.71,54.15,76.77,7.29,323.95,Zone_21
2025-11-01T19:24:42.741030,34.18,49.27,71.75,6.87,354.94,Zone_22
2025-11-01T20:24:42.741030,32.95,50.22,78.48,7.32,363.87,Zone_23
2025-11-01T21:24:42.741030,35.06,46.75,69.77,7.46,420.76,Zone_24
2025-11-01T22:24:42.741030,37.56,51.28,63.88,6.58,430.22,Zone_00
2025-11-01T23:24:42.741030,32.98,43.07,65.2,6.54,465.47,Zone_01
2025-11-02T00:24:42.741030,32.88,42.33,73.14,7.04,431.29,Zone_02
2025-11-02T01:24:42.741030,34.59,42.56,62.31,6.89,530.86,Zone_03
2025-11-02T02:24:42.741030,32.15,42.42,68.38,7.1,522.51,Zone_04
2025-11-02T03:24:42.741030,35.67,44.83,84.46,7.11,568.4,Zone_05
2025-11-02T04:24:42.741030,31.37,44.63,82.85,6.24,514.64,Zone_06
2025-11-02T05:24:42.741030,32.92,39.23,74.7,6.92,552.66,Zone_07
