date,temperature_avg,temperature_min,temperature_max,rainfall_mm,humidity_percent,wind_speed_kmh,sunshine_hours
2025-10-06,4.8,-0.2,9.8,5.7,62.7,7.6,11.7
2025-10-07,6.0,1.0,11.0,3.4,49.4,5.3,9.7
2025-10-08,4.5,-0.5,9.5,5.6,62.1,7.0,8.3
2025-10-09,8.9,3.9,13.9,2.7,61.3,6.1,9.6
2025-10-10,2.1,-2.9,7.1,1.4,66.8,5.2,8.8
2025-10-11,7.6,2.6,12.6,1.9,70.2,5.4,10.6
2025-10-12,8.4,3.4,13.4,4.9,72.3,6.5,9.8
2025-10-13,4.9,-0.1,9.9,5.3,72.1,7.4,11.5
2025-10-14,-0.1,-5.1,4.9,6.5,65.9,5.6,11.7
2025-10-15,6.2,1.2,11.2,3.1,71.8,5.5,10.1
2025-10-16,9.7,4.7,14.7,2.1,75.2,6.4,11.9
2025-10-17,6.4,1.4,11.4,0.5,81.8,7.3,8.5
2025-10-18,4.9,-0.1,9.9,1.9,83.7,6.7,11.0
2025-10-19,6.0,1.0,11.0,3.3,82.0,6.4,8.6
2025-10-20,6.0,1.0,11.0,6.0,85.2,5.1,10.6
2025-10-21,10.6,5.6,15.6,1.7,70.7,5.1,9.0
2025-10-22,5.2,0.2,10.2,4.7,77.3,7.9,9.0
2025-10-23,6.7,1.7,11.7,2.4,81.8,6.7,11.2
2025-10-24,11.6,6.6,16.6,0.8,76.9,5.6,8.8
2025-10-25,8.2,3.2,13.2,1.2,84.9,5.2,8.3
2025-10-26,7.3,2.3,12.3,3.5,82.4,5.4,11.5
2025-10-27,7.7,2.7,12.7,2.3,83.9,7.2,10.8
2025-10-28,7.5,2.5,12.5,5.2,72.4,7.0,11.2
2025-10-29,8.8,3.8,13.8,4.9,79.4,7.9,8.7
2025-10-30,8.9,3.9,13.9,2.4,79.7,6.2,11.6
2025-10-31,7.8,2.8,12.8,4.1,67.6,6.4,9.7
2025-11-01,8.0,3.0,13.0,0.0,69.1,6.4,9.4
2025-11-02,7.2,2.2,12.2,2.2,72.4,8.0,10.5
2025-11-03,11.1,6.1,16.1,0.0,68.6,6.0,9.2
2025-11-04,4.9,-0.1,9.9,1.0,63.7,7.5,11.2
